video-id,t-start,t-end,score,label
video_validation_0000176,0.000000,2.233333,12.119183,CricketShot
video_validation_0000176,5.033333,5.733333,7.388811,CricketShot
video_validation_0000176,6.833333,8.566667,10.631294,CricketShot
video_validation_0000176,10.100000,14.966667,20.326789,CricketShot
video_validation_0000176,16.466667,18.466667,14.056788,CricketShot
video_validation_0000176,19.633333,21.000000,11.032022,CricketShot
video_validation_0000176,22.266667,27.266667,19.244586,CricketShot
video_validation_0000176,28.900000,31.466667,17.050160,CricketShot
video_validation_0000176,32.600000,34.000000,13.769209,CricketShot
video_validation_0000176,35.466667,36.500000,7.900124,CricketShot
video_validation_0000176,39.533333,41.966667,16.445005,CricketShot
video_validation_0000176,44.733333,48.133333,10.816800,CricketShot
video_validation_0000176,49.666667,53.733333,16.518113,CricketShot
video_validation_0000176,55.200000,60.400000,20.533006,CricketShot
video_validation_0000176,62.200000,65.900000,15.627725,CricketShot
video_validation_0000176,68.900000,70.666667,8.499092,CricketShot
video_validation_0000176,76.233333,79.866667,13.600535,CricketShot
video_validation_0000176,80.700000,80.833333,2.222965,CricketShot
video_validation_0000176,82.666667,85.266667,13.682385,CricketShot
video_validation_0000176,86.833333,89.266667,14.886322,CricketShot
video_validation_0000176,90.133333,91.366667,10.857707,CricketShot
video_validation_0000176,92.466667,97.266667,19.998820,CricketShot
video_validation_0000176,98.866667,100.866667,10.858207,CricketShot
video_validation_0000176,102.200000,104.933333,22.722534,CricketShot
video_validation_0000176,106.500000,107.700000,11.225008,CricketShot
video_validation_0000176,109.866667,115.233333,17.581823,CricketShot
video_validation_0000176,117.000000,119.233333,13.453074,CricketShot
video_validation_0000176,120.600000,121.733333,8.861232,CricketShot
video_validation_0000176,123.066667,125.833333,16.397212,CricketShot
video_validation_0000176,129.600000,132.366667,16.550374,CricketShot
video_validation_0000265,5.200000,13.466667,22.853789,FrisbeeCatch
video_validation_0000265,14.266667,18.333333,17.339058,FrisbeeCatch
video_validation_0000265,19.433333,26.466667,23.928540,FrisbeeCatch
video_validation_0000265,27.333333,31.233333,16.700383,FrisbeeCatch
video_validation_0000265,31.933333,33.333333,10.506505,FrisbeeCatch
video_validation_0000265,34.033333,40.800000,23.915861,FrisbeeCatch
video_validation_0000265,46.166667,46.366667,3.823639,FrisbeeCatch
video_validation_0000265,49.766667,51.466667,10.604152,FrisbeeCatch
video_validation_0000178,5.866667,7.066667,4.823145,CricketBowling
video_validation_0000178,9.300000,16.933333,32.613400,CricketBowling
video_validation_0000178,30.333333,39.466667,30.214877,CricketBowling
video_validation_0000178,41.966667,43.766667,21.903466,CricketBowling
video_validation_0000178,47.933333,50.966667,21.373545,CricketBowling
video_validation_0000178,52.566667,54.733333,13.703615,CricketBowling
video_validation_0000178,56.466667,71.433333,37.071038,CricketBowling
video_validation_0000178,78.800000,84.366667,28.878584,CricketBowling
video_validation_0000178,86.300000,91.966667,28.956514,CricketBowling
video_validation_0000178,96.033333,97.233333,12.491965,CricketBowling
video_validation_0000178,100.400000,102.500000,11.097666,CricketBowling
video_validation_0000178,104.700000,104.766667,0.747593,CricketBowling
video_validation_0000178,106.966667,108.233333,9.942723,CricketBowling
video_validation_0000154,5.200000,32.866667,37.608883,CleanAndJerk
video_validation_0000154,34.100000,34.400000,4.935988,CleanAndJerk
video_validation_0000267,2.833333,4.300000,11.079833,FrisbeeCatch
video_validation_0000267,5.233333,15.600000,19.901063,FrisbeeCatch
video_validation_0000267,43.500000,43.566667,5.763352,FrisbeeCatch
video_validation_0000267,44.533333,45.233333,3.852166,FrisbeeCatch
video_validation_0000267,46.033333,46.266667,1.983840,FrisbeeCatch
video_validation_0000267,51.066667,55.866667,13.417069,FrisbeeCatch
video_validation_0000267,59.066667,62.466667,15.376339,FrisbeeCatch
video_validation_0000267,63.566667,63.966667,5.205005,FrisbeeCatch
video_validation_0000267,65.166667,73.966667,19.980682,FrisbeeCatch
video_validation_0000267,76.533333,77.100000,3.085435,FrisbeeCatch
video_validation_0000267,78.933333,87.300000,15.702680,FrisbeeCatch
video_validation_0000267,90.533333,117.233333,32.214257,FrisbeeCatch
video_validation_0000267,123.633333,127.500000,17.324829,FrisbeeCatch
video_validation_0000267,128.233333,128.900000,10.302429,FrisbeeCatch
video_validation_0000267,129.866667,130.666667,5.509263,FrisbeeCatch
video_validation_0000267,131.700000,133.033333,9.744449,FrisbeeCatch
video_validation_0000267,134.333333,134.400000,0.322697,FrisbeeCatch
video_validation_0000267,140.566667,143.066667,10.052129,FrisbeeCatch
video_validation_0000267,145.766667,146.166667,5.526866,FrisbeeCatch
video_validation_0000267,154.000000,156.400000,12.827136,FrisbeeCatch
video_validation_0000267,175.233333,176.866667,7.873723,FrisbeeCatch
video_validation_0000267,182.366667,183.666667,7.639320,FrisbeeCatch
video_validation_0000267,184.533333,195.700000,27.350764,FrisbeeCatch
video_validation_0000267,197.800000,202.366667,27.646696,FrisbeeCatch
video_validation_0000267,204.000000,206.400000,19.056838,FrisbeeCatch
video_validation_0000267,208.933333,210.033333,15.506295,FrisbeeCatch
video_validation_0000267,211.033333,214.900000,24.155379,FrisbeeCatch
video_validation_0000267,216.300000,218.200000,16.061050,FrisbeeCatch
video_validation_0000267,220.000000,229.600000,22.521146,FrisbeeCatch
video_validation_0000267,234.066667,244.333333,27.136636,FrisbeeCatch
video_validation_0000267,256.600000,263.200000,34.814282,FrisbeeCatch
video_validation_0000267,269.900000,270.400000,7.559994,FrisbeeCatch
video_validation_0000267,273.166667,274.566667,7.874481,FrisbeeCatch
video_validation_0000267,275.800000,283.233333,25.510144,FrisbeeCatch
video_validation_0000267,283.933333,291.433333,19.998119,FrisbeeCatch
video_validation_0000267,292.333333,293.200000,5.840355,FrisbeeCatch
video_validation_0000267,296.300000,297.166667,8.058980,FrisbeeCatch
video_validation_0000267,299.466667,307.300000,28.902262,FrisbeeCatch
video_validation_0000267,308.766667,309.100000,5.242250,FrisbeeCatch
video_validation_0000267,312.966667,317.700000,18.795473,FrisbeeCatch
video_validation_0000267,318.900000,319.833333,13.844470,FrisbeeCatch
video_validation_0000267,320.600000,322.200000,18.560081,FrisbeeCatch
video_validation_0000267,322.933333,327.466667,25.267838,FrisbeeCatch
video_validation_0000267,330.366667,334.733333,24.406029,FrisbeeCatch
video_validation_0000267,336.033333,340.600000,25.911163,FrisbeeCatch
video_validation_0000267,341.533333,345.966667,23.704516,FrisbeeCatch
video_validation_0000267,346.800000,355.833333,28.944331,FrisbeeCatch
video_validation_0000267,356.633333,364.000000,25.472337,FrisbeeCatch
video_validation_0000267,364.733333,366.433333,7.039735,FrisbeeCatch
video_validation_0000182,5.033333,6.566667,9.663350,CricketShot
video_validation_0000182,7.266667,19.700000,23.094791,CricketShot
video_validation_0000182,20.700000,22.400000,10.417322,CricketShot
video_validation_0000182,23.233333,30.900000,21.484498,CricketShot
video_validation_0000182,32.000000,40.533333,23.168793,CricketShot
video_validation_0000182,41.966667,46.000000,13.139398,CricketShot
video_validation_0000182,46.766667,61.766667,26.460124,CricketShot
video_validation_0000182,78.500000,97.233333,27.787984,CricketShot
video_validation_0000179,4.400000,5.566667,10.752761,CricketBowling
video_validation_0000179,7.533333,12.966667,16.543754,CricketBowling
video_validation_0000179,14.266667,23.233333,24.446525,CricketBowling
video_validation_0000179,35.966667,43.233333,31.135221,CricketBowling
video_validation_0000179,54.366667,65.300000,27.631229,CricketBowling
video_validation_0000179,67.466667,68.033333,3.176784,CricketBowling
video_validation_0000179,73.033333,77.533333,21.483824,CricketBowling
video_validation_0000179,79.466667,81.466667,6.180809,CricketBowling
video_validation_0000179,88.400000,95.866667,28.179140,CricketBowling
video_validation_0000179,100.033333,107.433333,25.769625,CricketBowling
video_validation_0000179,115.133333,122.766667,25.211466,CricketBowling
video_validation_0000179,127.333333,128.666667,6.215284,CricketBowling
video_validation_0000179,134.533333,149.700000,26.842605,CricketBowling
video_validation_0000179,158.200000,174.533333,29.637693,CricketBowling
video_validation_0000263,0.566667,0.700000,1.154275,FrisbeeCatch
video_validation_0000263,8.666667,9.500000,10.082968,FrisbeeCatch
video_validation_0000263,13.900000,19.433333,20.183433,FrisbeeCatch
video_validation_0000263,20.166667,31.233333,18.897468,FrisbeeCatch
video_validation_0000263,32.666667,35.900000,4.550595,FrisbeeCatch
video_validation_0000263,40.133333,41.433333,1.805136,FrisbeeCatch
video_validation_0000263,42.266667,42.433333,1.259430,FrisbeeCatch
video_validation_0000263,43.833333,44.066667,1.002003,FrisbeeCatch
video_validation_0000263,47.233333,47.366667,0.653492,FrisbeeCatch
video_validation_0000157,1.800000,4.100000,10.800397,CleanAndJerk
video_validation_0000157,4.800000,9.300000,15.128128,CleanAndJerk
video_validation_0000157,21.800000,25.133333,8.358017,CleanAndJerk
video_validation_0000157,28.000000,29.033333,6.414109,CleanAndJerk
video_validation_0000157,36.900000,50.266667,22.664481,CleanAndJerk
video_validation_0000270,0.000000,1.800000,12.975032,CricketShot
video_validation_0000270,25.700000,57.966667,30.142406,CricketShot
video_validation_0000184,0.133333,8.466667,24.278588,CricketShot
video_validation_0000184,13.966667,16.233333,7.692710,CricketShot
video_validation_0000184,17.000000,19.900000,12.701249,CricketShot
video_validation_0000184,20.833333,26.133333,27.646344,CricketShot
video_validation_0000184,28.033333,28.666667,7.601471,CricketShot
video_validation_0000184,32.166667,38.766667,25.666709,CricketShot
video_validation_0000184,39.800000,56.200000,29.962846,CricketShot
video_validation_0000184,63.966667,65.433333,6.402326,CricketShot
video_validation_0000184,66.700000,69.266667,20.475079,CricketShot
video_validation_0000184,71.433333,78.100000,28.064033,CricketShot
video_validation_0000184,84.000000,86.366667,20.966009,CricketShot
video_validation_0000184,87.966667,88.200000,4.567751,CricketShot
video_validation_0000184,95.200000,95.733333,3.453967,CricketShot
video_validation_0000184,96.833333,97.400000,5.971596,CricketShot
video_validation_0000184,98.866667,100.433333,6.508916,CricketShot
video_validation_0000184,112.433333,112.600000,6.864872,CricketShot
video_validation_0000184,116.100000,118.400000,20.148288,CricketShot
video_validation_0000184,120.200000,120.366667,4.718972,CricketShot
video_validation_0000184,127.133333,127.800000,3.659362,CricketShot
video_validation_0000184,129.033333,129.366667,3.743121,CricketShot
video_validation_0000184,130.833333,132.633333,9.417702,CricketShot
video_validation_0000184,150.866667,160.500000,36.746924,CricketShot
video_validation_0000184,161.233333,168.400000,30.274025,CricketShot
video_validation_0000172,10.066667,10.200000,-0.578447,CricketBowling
video_validation_0000172,10.966667,11.833333,5.207093,CricketBowling
video_validation_0000172,14.300000,17.833333,9.779139,CricketBowling
video_validation_0000172,20.233333,20.366667,0.642949,CricketBowling
video_validation_0000172,22.966667,24.733333,5.251073,CricketBowling
video_validation_0000172,25.633333,26.200000,4.379177,CricketBowling
video_validation_0000172,28.766667,30.900000,5.882395,CricketBowling
video_validation_0000172,32.033333,33.533333,10.205922,CricketBowling
video_validation_0000172,34.733333,35.733333,3.207996,CricketBowling
video_validation_0000172,38.366667,42.966667,6.103887,CricketBowling
video_validation_0000172,44.866667,46.800000,5.688155,CricketBowling
video_validation_0000172,49.300000,53.300000,8.126163,CricketBowling
video_validation_0000172,54.833333,55.233333,3.437602,CricketBowling
video_validation_0000172,56.200000,56.900000,2.631749,CricketBowling
video_validation_0000172,57.666667,59.700000,3.725616,CricketBowling
video_validation_0000172,62.366667,63.466667,6.912487,CricketBowling
video_validation_0000172,64.933333,70.200000,11.883438,CricketBowling
video_validation_0000172,71.166667,71.266667,2.407728,CricketBowling
video_validation_0000172,72.300000,75.833333,6.422245,CricketBowling
video_validation_0000172,77.000000,78.866667,6.805160,CricketBowling
video_validation_0000172,81.633333,85.433333,10.424354,CricketBowling
video_validation_0000172,86.833333,88.000000,3.384485,CricketBowling
video_validation_0000172,88.733333,91.233333,7.018897,CricketBowling
video_validation_0000172,92.500000,94.533333,7.115175,CricketBowling
video_validation_0000172,96.066667,103.666667,9.672890,CricketBowling
video_validation_0000155,16.833333,18.533333,9.878424,CleanAndJerk
video_validation_0000155,20.366667,24.233333,19.350912,CleanAndJerk
video_validation_0000155,26.433333,62.500000,30.312056,CleanAndJerk
video_validation_0000173,2.733333,9.233333,24.049140,CricketShot
video_validation_0000173,14.266667,16.633333,14.244669,CricketShot
video_validation_0000173,20.100000,23.166667,16.075727,CricketShot
video_validation_0000173,24.300000,30.133333,21.091034,CricketShot
video_validation_0000173,30.833333,33.833333,20.644154,CricketShot
