video-id,t-start,t-end,score,label
video_validation_0000664,1.5,10.9,19.9,PoleVault
video_validation_0000664,16.2,30.1,34.5,PoleVault
video_validation_0000664,32.8,32.9,1.1,PoleVault
video_validation_0000664,33.9,39.1,39.5,PoleVault
video_validation_0000664,41.6,41.7,-3.2,PoleVault
video_validation_0000664,42.8,49.5,32.4,PoleVault
video_validation_0000664,50.3,60.2,34.7,PoleVault
video_validation_0000664,62.3,69.0,38.0,PoleVault
video_validation_0000664,72.5,81.6,35.6,PoleVault
video_validation_0000664,84.9,105.6,39.4,PoleVault
video_validation_0000664,109.5,114.3,27.2,PoleVault
video_validation_0000318,5.8,8.6,17.4,HammerThrow
video_validation_0000318,24.5,34.7,27.9,HammerThrow
video_validation_0000318,36.9,37.0,2.9,HammerThrow
video_validation_0000318,47.4,50.6,10.1,HammerThrow
video_validation_0000318,51.6,51.9,7.7,HammerThrow
video_validation_0000318,58.1,96.5,24.3,HammerThrow
video_validation_0000318,101.4,101.7,4.6,HammerThrow
video_validation_0000318,102.7,103.4,7.2,HammerThrow
video_validation_0000318,107.8,116.3,29.5,HammerThrow
video_validation_0000318,117.2,126.7,31.4,HammerThrow
video_validation_0000318,129.8,131.3,12.3,HammerThrow
video_validation_0000318,133.6,143.0,22.7,HammerThrow
video_validation_0000318,144.7,147.0,7.7,HammerThrow
video_validation_0000318,147.8,149.5,6.3,HammerThrow
video_validation_0000318,151.3,160.2,28.1,HammerThrow
video_validation_0000318,161.0,166.8,19.9,HammerThrow
video_validation_0000318,169.6,170.6,6.9,HammerThrow
video_validation_0000318,179.4,179.9,8.3,HammerThrow
video_validation_0000318,180.7,186.7,12.4,HammerThrow
video_validation_0000314,0.3,9.3,19.4,HammerThrow
video_validation_0000314,11.2,21.4,20.8,HammerThrow
video_validation_0000314,22.5,23.3,11.6,HammerThrow
video_validation_0000314,24.3,25.2,11.0,HammerThrow
video_validation_0000314,25.9,29.3,18.0,HammerThrow
video_validation_0000314,30.0,30.4,3.5,HammerThrow
video_validation_0000314,32.0,32.9,13.6,HammerThrow
video_validation_0000314,33.8,34.1,11.3,HammerThrow
video_validation_0000314,34.8,35.0,0.6,HammerThrow
video_validation_0000314,35.9,39.1,19.9,HammerThrow
video_validation_0000314,40.8,41.5,7.3,HammerThrow
video_validation_0000314,42.5,42.9,8.4,HammerThrow
video_validation_0000314,43.6,44.2,9.7,HammerThrow
video_validation_0000314,45.0,45.3,5.4,HammerThrow
video_validation_0000314,46.3,49.3,14.1,HammerThrow
video_validation_0000314,52.0,61.0,31.5,HammerThrow
video_validation_0000314,68.4,71.9,20.4,HammerThrow
video_validation_0000314,74.2,74.5,3.8,HammerThrow
video_validation_0000314,81.3,81.8,11.1,HammerThrow
video_validation_0000314,83.1,85.2,10.2,HammerThrow
video_validation_0000314,85.9,86.1,5.4,HammerThrow
video_validation_0000314,86.9,87.9,11.3,HammerThrow
video_validation_0000314,88.7,93.9,21.7,HammerThrow
video_validation_0000314,94.7,99.4,17.7,HammerThrow
video_validation_0000314,102.7,105.4,11.5,HammerThrow
video_validation_0000314,106.4,109.3,13.7,HammerThrow
video_validation_0000314,112.1,112.7,7.6,HammerThrow
video_validation_0000314,113.5,113.8,6.2,HammerThrow
video_validation_0000314,114.9,115.2,11.5,HammerThrow
video_validation_0000314,115.9,131.2,30.5,HammerThrow
video_validation_0000314,134.5,134.9,4.7,HammerThrow
video_validation_0000314,135.7,136.5,10.4,HammerThrow
video_validation_0000314,137.3,142.5,19.1,HammerThrow
video_validation_0000314,143.3,144.6,10.5,HammerThrow
video_validation_0000314,146.1,148.9,17.2,HammerThrow
video_validation_0000314,150.0,150.5,9.8,HammerThrow
video_validation_0000314,151.6,151.7,-0.0,HammerThrow
video_validation_0000314,153.3,156.5,15.8,HammerThrow
video_validation_0000314,157.4,159.3,15.3,HammerThrow
video_validation_0000314,164.2,171.4,28.9,HammerThrow
video_validation_0000314,173.7,173.7,4.5,HammerThrow
video_validation_0000314,176.6,177.0,8.0,HammerThrow
video_validation_0000314,180.3,184.0,19.9,HammerThrow
video_validation_0000314,187.0,188.6,10.8,HammerThrow
video_validation_0000314,190.4,192.1,12.8,HammerThrow
video_validation_0000314,194.6,195.2,3.9,HammerThrow
video_validation_0000314,196.4,200.7,23.4,HammerThrow
video_validation_0000314,202.2,202.9,5.7,HammerThrow
video_validation_0000314,203.8,204.6,10.1,HammerThrow
video_validation_0000314,205.8,212.8,32.4,HammerThrow
video_validation_0000314,215.3,215.9,6.6,HammerThrow
video_validation_0000314,216.6,219.6,14.3,HammerThrow
video_validation_0000314,220.3,224.8,19.7,HammerThrow
video_validation_0000314,225.5,229.6,15.9,HammerThrow
video_validation_0000314,230.4,233.8,12.9,HammerThrow
video_validation_0000314,236.2,237.2,10.1,HammerThrow
video_validation_0000314,243.9,245.2,11.2,HammerThrow
video_validation_0000314,246.1,248.4,9.2,HammerThrow
video_validation_0000314,249.7,250.4,11.7,HammerThrow
video_validation_0000314,251.3,254.7,15.6,HammerThrow
video_validation_0000314,256.7,257.6,15.0,HammerThrow
video_validation_0000314,258.3,258.6,8.3,HammerThrow
video_validation_0000314,259.3,263.2,20.7,HammerThrow
video_validation_0000314,264.6,264.9,4.6,HammerThrow
video_validation_0000314,267.4,270.6,15.2,HammerThrow
video_validation_0000314,271.4,271.8,9.1,HammerThrow
video_validation_0000314,278.7,285.6,30.9,HammerThrow
video_validation_0000314,287.3,288.6,16.2,HammerThrow
video_validation_0000314,289.6,295.8,25.1,HammerThrow
video_validation_0000314,297.7,297.8,1.0,HammerThrow
video_validation_0000314,300.0,300.6,8.7,HammerThrow
video_validation_0000314,302.9,306.7,17.4,HammerThrow
video_validation_0000314,307.5,307.8,2.7,HammerThrow
video_validation_0000314,308.5,313.1,15.3,HammerThrow
video_validation_0000314,314.5,315.4,3.4,HammerThrow
video_validation_0000314,317.1,317.6,7.9,HammerThrow
video_validation_0000314,319.4,319.6,3.4,HammerThrow
video_validation_0000314,321.1,324.8,13.6,HammerThrow
video_validation_0000314,327.7,328.1,8.0,HammerThrow
video_validation_0000314,333.5,336.9,16.7,HammerThrow
video_validation_0000314,339.5,340.1,11.2,HammerThrow
video_validation_0000314,341.0,341.9,10.5,HammerThrow
video_validation_0000314,342.7,343.3,7.1,HammerThrow
video_validation_0000314,345.0,345.7,8.9,HammerThrow
video_validation_0000314,351.1,354.1,14.6,HammerThrow
video_validation_0000314,357.3,362.5,21.9,HammerThrow
video_validation_0000314,364.5,371.7,26.6,HammerThrow
video_validation_0000314,373.2,384.5,35.1,HammerThrow
video_validation_0000314,386.3,393.9,27.6,HammerThrow
video_validation_0000314,394.6,402.6,25.4,HammerThrow
video_validation_0000314,404.5,408.7,18.5,HammerThrow
video_validation_0000314,409.7,411.4,10.5,HammerThrow
video_validation_0000314,413.3,418.3,22.8,HammerThrow
video_validation_0000314,419.1,424.0,23.3,HammerThrow
video_validation_0000314,424.8,428.5,17.5,HammerThrow
video_validation_0000314,430.6,431.8,12.8,HammerThrow
video_validation_0000314,432.5,436.5,19.7,HammerThrow
video_validation_0000314,442.6,443.6,12.6,HammerThrow
video_validation_0000314,446.7,449.1,19.5,HammerThrow
video_validation_0000314,450.4,452.5,13.9,HammerThrow
video_validation_0000314,455.6,457.5,12.8,HammerThrow
video_validation_0000314,460.4,462.9,14.7,HammerThrow
video_validation_0000314,464.8,465.5,13.3,HammerThrow
video_validation_0000314,466.3,470.5,20.0,HammerThrow
video_validation_0000314,472.4,480.6,34.3,HammerThrow
video_validation_0000314,482.4,486.1,15.8,HammerThrow
video_validation_0000314,486.8,494.2,23.0,HammerThrow
video_validation_0000314,496.1,500.9,27.3,HammerThrow
video_validation_0000314,502.7,505.7,13.9,HammerThrow
video_validation_0000314,507.3,508.0,11.9,HammerThrow
video_validation_0000314,508.9,514.9,23.6,HammerThrow
video_validation_0000314,515.8,521.1,22.1,HammerThrow
video_validation_0000314,522.7,524.0,16.3,HammerThrow
video_validation_0000314,525.8,528.0,9.1,HammerThrow
video_validation_0000314,529.3,529.4,3.7,HammerThrow
video_validation_0000314,532.0,534.2,13.3,HammerThrow
video_validation_0000314,534.9,538.2,19.4,HammerThrow
video_validation_0000314,540.2,540.5,3.3,HammerThrow
video_validation_0000314,544.5,548.2,17.1,HammerThrow
video_validation_0000314,549.4,550.0,7.1,HammerThrow
video_validation_0000314,550.8,552.3,11.2,HammerThrow
video_validation_0000314,553.1,555.7,18.5,HammerThrow
video_validation_0000314,558.0,558.5,9.8,HammerThrow
video_validation_0000314,559.4,574.0,32.4,HammerThrow
video_validation_0000314,575.3,575.6,5.5,HammerThrow
video_validation_0000314,580.1,581.1,9.5,HammerThrow
video_validation_0000314,585.1,585.2,-0.5,HammerThrow
video_validation_0000314,586.1,586.6,12.6,HammerThrow
video_validation_0000314,588.8,591.6,14.0,HammerThrow
video_validation_0000314,594.9,595.7,6.7,HammerThrow
video_validation_0000314,596.5,597.1,7.9,HammerThrow
video_validation_0000314,597.8,598.1,2.6,HammerThrow
video_validation_0000314,599.4,599.7,6.1,HammerThrow
video_validation_0000314,601.0,602.6,13.5,HammerThrow
video_validation_0000314,611.5,619.7,31.4,HammerThrow
video_validation_0000314,622.7,633.4,30.2,HammerThrow
video_validation_0000314,634.3,635.0,9.6,HammerThrow
video_validation_0000314,640.2,641.1,6.7,HammerThrow
video_validation_0000314,642.9,643.7,12.3,HammerThrow
video_validation_0000314,645.2,646.1,5.4,HammerThrow
video_validation_0000314,647.4,648.7,16.3,HammerThrow
video_validation_0000314,651.0,651.9,11.3,HammerThrow
video_validation_0000314,655.4,656.0,10.3,HammerThrow
video_validation_0000314,657.5,658.0,11.1,HammerThrow
video_validation_0000314,660.9,663.2,14.6,HammerThrow
video_validation_0000314,665.1,669.8,20.7,HammerThrow
video_validation_0000314,671.4,671.5,-5.8,HammerThrow
video_validation_0000314,673.4,674.6,11.1,HammerThrow
video_validation_0000314,675.7,682.6,26.5,HammerThrow
video_validation_0000314,684.5,686.2,9.3,HammerThrow
video_validation_0000314,687.3,689.7,15.3,HammerThrow
video_validation_0000314,706.0,708.2,14.3,HammerThrow
video_validation_0000314,708.9,709.5,10.5,HammerThrow
video_validation_0000314,711.3,715.7,20.6,HammerThrow
video_validation_0000314,716.6,725.3,36.1,HammerThrow
video_validation_0000314,727.1,734.4,32.8,HammerThrow
video_validation_0000314,740.8,741.9,7.0,HammerThrow
video_validation_0000314,743.8,744.1,11.1,HammerThrow
video_validation_0000314,745.4,745.7,3.5,HammerThrow
video_validation_0000314,747.9,750.6,14.0,HammerThrow
video_validation_0000314,752.4,758.7,23.8,HammerThrow
video_validation_0000314,759.5,759.8,5.5,HammerThrow
video_validation_0000314,762.8,764.1,8.9,HammerThrow
video_validation_0000314,765.4,765.7,10.0,HammerThrow
video_validation_0000314,766.4,766.9,9.0,HammerThrow
video_validation_0000314,767.6,768.2,9.2,HammerThrow
